,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,HOME_TEAM_WINS,HOME_TEAM_SEASON_WINS,HOME_TEAM_SEASON_LOSSES,VISITOR_TEAM_SEASON_WINS,VISITOR_TEAM_SEASON_LOSSES,HOME_TEAM_BREAK,VISITOR_TEAM_BREAK
0,2022-12-22,22200477,1610612740,1610612759,2023,1,19,12,10,21,3,3
1,2022-12-22,22200478,1610612762,1610612764,2023,1,19,16,12,21,2,2
2,2022-12-21,22200466,1610612739,1610612749,2023,1,22,11,22,9,2,2
3,2022-12-21,22200472,1610612745,1610612753,2023,0,9,22,12,21,2,2
4,2022-12-21,22200476,1610612746,1610612766,2023,1,19,14,8,24,4,2
5,2022-12-21,22200475,1610612758,1610612747,2023,1,17,13,13,18,2,2
6,2022-12-21,22200474,1610612760,1610612757,2023,1,14,18,17,15,2,2
7,2022-12-21,22200473,1610612750,1610612742,2023,0,16,16,16,16,2,2
8,2022-12-21,22200467,1610612755,1610612765,2023,1,18,12,8,26,2,1
9,2022-12-21,22200471,1610612752,1610612761,2023,0,18,14,14,18,1,2
10,2022-12-21,22200468,1610612737,1610612741,2023,0,16,16,13,18,2,1
11,2022-12-21,22200470,1610612751,1610612744,2023,1,20,12,15,18,3,1
12,2022-12-21,22200469,1610612738,1610612754,2023,0,22,10,16,16,3,3
13,2022-12-20,22200462,1610612748,1610612741,2023,0,16,16,12,18,3,2
14,2022-12-20,22200463,1610612752,1610612744,2023,1,18,13,15,17,2,2
15,2022-12-20,22200464,1610612756,1610612764,2023,0,19,13,12,20,1,2
16,2022-12-20,22200465,1610612743,1610612763,2023,1,19,11,19,11,2,3
17,2022-12-20,22200461,1610612765,1610612762,2023,0,8,25,18,16,2,1
18,2022-12-19,22200456,1610612750,1610612742,2023,1,16,15,15,16,1,2
19,2022-12-19,22200460,1610612758,1610612766,2023,0,16,13,8,23,3,1
20,2022-12-19,22200459,1610612756,1610612747,2023,1,19,12,13,17,2,1
21,2022-12-19,22200457,1610612740,1610612749,2023,0,18,12,22,8,2,2
22,2022-12-19,22200458,1610612760,1610612757,2023,1,13,18,17,14,2,2
23,2022-12-19,22200455,1610612745,1610612759,2023,0,9,21,10,20,2,2
24,2022-12-19,22200454,1610612737,1610612753,2023,1,16,15,11,21,3,1
25,2022-12-19,22200453,1610612755,1610612761,2023,1,17,12,13,18,3,1
26,2022-12-19,22200452,1610612739,1610612762,2023,1,21,11,17,16,2,2
27,2022-12-18,22200445,1610612738,1610612753,2023,0,22,9,11,20,2,2
28,2022-12-18,22200446,1610612754,1610612752,2023,0,15,16,17,13,2,2
29,2022-12-18,22200447,1610612765,1610612751,2023,0,8,24,19,12,2,2
30,2022-12-18,22200448,1610612761,1610612744,2023,0,13,17,15,16,2,2
31,2022-12-18,22200449,1610612750,1610612741,2023,1,15,15,11,18,2,2
32,2022-12-18,22200450,1610612743,1610612766,2023,1,18,11,7,23,2,2
33,2022-12-18,22200451,1610612747,1610612764,2023,1,13,16,11,20,2,1
34,2022-12-17,22200441,1610612745,1610612757,2023,0,9,20,17,13,2,1
35,2022-12-17,22200444,1610612756,1610612740,2023,1,18,12,18,11,2,2
36,2022-12-17,22200442,1610612749,1610612762,2023,1,21,8,17,15,2,2
37,2022-12-17,22200443,1610612760,1610612763,2023,1,12,18,19,10,1,2
38,2022-12-17,22200440,1610612739,1610612742,2023,1,20,11,15,15,1,1
39,2022-12-17,22200439,1610612759,1610612748,2023,0,9,20,16,15,3,2
40,2022-12-17,22200438,1610612746,1610612764,2023,1,18,14,11,19,2,3
41,2022-12-16,22200428,1610612766,1610612737,2023,0,7,22,15,15,2,2
42,2022-12-16,22200429,1610612765,1610612758,2023,0,8,23,16,12,2,2
43,2022-12-16,22200430,1610612738,1610612753,2023,0,22,8,10,20,3,2
44,2022-12-16,22200431,1610612739,1610612754,2023,1,19,11,15,15,2,2
45,2022-12-16,22200432,1610612755,1610612744,2023,1,16,12,14,16,3,2
46,2022-12-16,22200433,1610612761,1610612751,2023,0,13,16,18,12,2,4
47,2022-12-16,22200434,1610612741,1610612752,2023,0,11,17,16,13,2,2
48,2022-12-16,22200435,1610612760,1610612750,2023,0,11,18,14,15,2,2
49,2022-12-16,22200436,1610612742,1610612757,2023,1,15,14,16,13,2,2
50,2022-12-16,22200437,1610612747,1610612743,2023,1,12,16,17,11,3,2
51,2022-12-15,22200426,1610612762,1610612740,2023,1,17,14,18,10,2,2
52,2022-12-15,22200427,1610612746,1610612756,2023,0,17,14,17,12,1,2
53,2022-12-15,22200425,1610612763,1610612749,2023,1,19,9,20,8,3,2
54,2022-12-15,22200424,1610612745,1610612748,2023,0,9,19,15,15,2,1
55,2022-12-14,22200414,1610612766,1610612765,2023,0,7,21,8,22,3,3
56,2022-12-14,22200415,1610612754,1610612744,2023,1,15,14,14,15,2,1
57,2022-12-14,22200416,1610612753,1610612737,2023,1,9,20,14,15,3,2
58,2022-12-14,22200417,1610612761,1610612758,2023,0,13,15,15,12,3,1
59,2022-12-14,22200418,1610612741,1610612752,2023,0,11,16,15,13,3,3
60,2022-12-14,22200419,1610612760,1610612748,2023,0,11,17,14,15,2,2
61,2022-12-14,22200420,1610612759,1610612757,2023,0,9,19,16,12,2,2
62,2022-12-14,22200421,1610612742,1610612739,2023,0,14,14,18,11,2,2
63,2022-12-14,22200422,1610612743,1610612764,2023,1,17,10,11,18,4,2
64,2022-12-14,22200423,1610612746,1610612750,2023,1,17,13,13,15,2,2
65,2022-12-13,22200411,1610612745,1610612756,2023,1,9,18,16,12,2,2
66,2022-12-13,22200412,1610612762,1610612740,2023,1,16,14,18,9,3,2
67,2022-12-13,22200413,1610612747,1610612738,2023,0,11,16,22,7,2,1
68,2022-12-13,22200410,1610612749,1610612744,2023,1,20,7,14,14,2,3
69,2022-12-13,22200409,1610612755,1610612758,2023,1,15,12,14,12,2,2
70,2022-12-12,22200406,1610612759,1610612739,2023,1,9,18,17,11,2,2
71,2022-12-12,22200408,1610612746,1610612738,2023,1,16,13,21,7,2,2
72,2022-12-12,22200407,1610612757,1610612750,2023,1,15,12,13,14,2,2
73,2022-12-12,22200403,1610612764,1610612751,2023,0,11,17,17,12,2,2
74,2022-12-12,22200405,1610612742,1610612760,2023,1,14,13,11,16,2,2
75,2022-12-12,22200402,1610612754,1610612748,2023,0,14,14,13,15,2,2
76,2022-12-12,22200404,1610612763,1610612737,2023,1,18,9,14,14,3,1
77,2022-12-11,22200395,1610612740,1610612756,2023,1,18,8,16,11,2,2
78,2022-12-11,22200396,1610612765,1610612747,2023,0,7,22,11,15,2,2
79,2022-12-11,22200397,1610612752,1610612758,2023,1,14,13,14,11,2,2
80,2022-12-11,22200398,1610612753,1610612761,2023,1,8,20,13,14,2,2
81,2022-12-11,22200399,1610612755,1610612766,2023,1,14,12,7,20,2,2
82,2022-12-11,22200400,1610612737,1610612741,2023,1,14,13,11,15,2,1
83,2022-12-11,22200401,1610612745,1610612749,2023,1,8,18,19,7,3,2
84,2022-12-10,22200391,1610612741,1610612742,2023,1,11,14,13,13,3,1
85,2022-12-10,22200394,1610612757,1610612750,2023,1,14,12,13,13,2,1
86,2022-12-10,22200393,1610612743,1610612762,2023,1,16,10,15,14,2,1
87,2022-12-10,22200392,1610612744,1610612738,2023,1,14,13,21,6,3,3
88,2022-12-10,22200388,1610612754,1610612751,2023,0,14,13,16,12,1,1
89,2022-12-10,22200390,1610612739,1610612760,2023,1,17,10,11,15,1,3
90,2022-12-10,22200389,1610612764,1610612746,2023,0,11,16,15,13,1,2
91,2022-12-10,22200387,1610612748,1610612759,2023,0,12,15,8,18,2,2
92,2022-12-09,22200382,1610612755,1610612747,2023,1,13,12,10,15,4,2
93,2022-12-09,22200386,1610612742,1610612749,2023,0,13,12,19,6,3,2
94,2022-12-09,22200385,1610612762,1610612750,2023,0,15,13,13,12,2,2
95,2022-12-09,22200383,1610612763,1610612765,2023,1,17,9,7,21,2,2
96,2022-12-09,22200384,1610612740,1610612756,2023,1,17,8,16,10,2,2
97,2022-12-09,22200381,1610612739,1610612758,2023,0,16,10,14,10,3,2
98,2022-12-09,22200380,1610612751,1610612737,2023,1,15,12,13,13,2,2
99,2022-12-09,22200379,1610612753,1610612761,2023,1,7,20,13,13,2,2
100,2022-12-09,22200378,1610612754,1610612764,2023,1,14,12,11,15,2,2
101,2022-12-09,22200377,1610612766,1610612752,2023,0,7,19,13,13,2,2
102,2022-12-08,22200376,1610612757,1610612743,2023,0,13,12,15,10,4,2
103,2022-12-08,22200374,1610612748,1610612746,2023,1,12,14,14,13,2,1
104,2022-12-08,22200375,1610612759,1610612745,2023,1,7,18,7,18,4,3
105,2022-12-07,22200369,1610612749,1610612758,2023,1,18,6,13,10,2,3
106,2022-12-07,22200363,1610612753,1610612746,2023,1,6,20,14,12,2,2
107,2022-12-07,22200373,1610612756,1610612738,2023,0,16,9,21,5,2,2
108,2022-12-07,22200372,1610612762,1610612744,2023,1,15,12,13,13,4,2
109,2022-12-07,22200370,1610612750,1610612754,2023,1,12,12,13,12,4,2
110,2022-12-07,22200371,1610612740,1610612765,2023,1,16,8,7,20,3,1
111,2022-12-07,22200368,1610612763,1610612760,2023,1,16,9,11,14,2,2
112,2022-12-07,22200364,1610612751,1610612766,2023,1,14,12,7,18,3,2
113,2022-12-07,22200367,1610612741,1610612764,2023,1,10,14,11,14,3,3
114,2022-12-07,22200366,1610612761,1610612747,2023,1,13,12,10,14,2,1
115,2022-12-07,22200365,1610612752,1610612737,2023,1,12,13,13,12,3,2
116,2022-12-06,22200362,1610612743,1610612742,2023,0,14,10,13,11,2,1
117,2022-12-06,22200361,1610612748,1610612765,2023,0,11,14,7,19,1,2
118,2022-12-06,22200360,1610612739,1610612747,2023,1,16,9,10,13,2,2
119,2022-12-05,22200352,1610612766,1610612746,2023,0,7,17,14,11,2,2
120,2022-12-05,22200354,1610612737,1610612760,2023,0,13,11,11,13,3,2
121,2022-12-05,22200355,1610612761,1610612738,2023,0,12,12,20,5,2,1
122,2022-12-05,22200356,1610612745,1610612755,2023,1,7,17,12,12,2,3
123,2022-12-05,22200357,1610612763,1610612748,2023,1,15,9,11,13,1,3
124,2022-12-05,22200358,1610612742,1610612756,2023,1,12,11,16,8,2,1
125,2022-12-05,22200359,1610612744,1610612754,2023,0,13,12,13,11,2,1
126,2022-12-05,22200353,1610612753,1610612749,2023,0,5,20,17,6,2,2
127,2022-12-04,22200348,1610612752,1610612739,2023,1,11,13,15,9,1,2
128,2022-12-04,22200351,1610612757,1610612754,2023,1,13,11,12,11,1,2
129,2022-12-04,22200350,1610612758,1610612741,2023,1,13,9,9,14,1,2
130,2022-12-04,22200349,1610612764,1610612747,2023,0,11,13,10,12,2,2
131,2022-12-04,22200347,1610612765,1610612763,2023,0,6,19,14,9,3,2
132,2022-12-04,22200344,1610612740,1610612743,2023,1,15,8,14,9,2,2
133,2022-12-04,22200346,1610612751,1610612738,2023,0,13,12,19,5,2,2
134,2022-12-04,22200345,1610612759,1610612756,2023,0,6,18,16,7,2,2
135,2022-12-03,22200337,1610612752,1610612742,2023,0,10,13,11,11,3,2
136,2022-12-03,22200341,1610612750,1610612760,2023,0,11,12,10,13,3,3
137,2022-12-03,22200343,1610612762,1610612757,2023,0,14,12,12,11,1,3
138,2022-12-03,22200342,1610612744,1610612745,2023,1,13,11,6,17,1,1
139,2022-12-03,22200338,1610612746,1610612758,2023,0,13,11,12,9,3,3
140,2022-12-03,22200340,1610612761,1610612753,2023,1,12,11,5,19,1,1
141,2022-12-03,22200339,1610612766,1610612749,2023,0,7,16,16,6,1,1
142,2022-12-02,22200331,1610612749,1610612747,2023,0,15,6,9,12,2,2
143,2022-12-02,22200336,1610612744,1610612741,2023,1,12,11,9,13,3,2
144,2022-12-02,22200334,1610612756,1610612745,2023,0,15,7,6,16,2,2
145,2022-12-02,22200333,1610612759,1610612740,2023,0,6,17,14,8,2,2
146,2022-12-02,22200332,1610612763,1610612755,2023,1,13,9,12,11,2,2
147,2022-12-02,22200335,1610612762,1610612754,2023,1,14,11,12,10,2,2
148,2022-12-02,22200330,1610612739,1610612753,2023,1,15,8,5,18,2,2
149,2022-12-02,22200328,1610612738,1610612748,2023,0,18,5,11,12,2,2
