,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,HOME_TEAM_WINS,HOME_TEAM_SEASON_WINS,HOME_TEAM_SEASON_LOSSES,VISITOR_TEAM_SEASON_WINS,VISITOR_TEAM_SEASON_LOSSES,HOME_TEAM_BREAK,VISITOR_TEAM_BREAK,HOME_TEAM_LAST_SEASON_W_PCT,VISITOR_TEAM_LAST_SEASON_W_PCT,HOME_TEAM_2_SEASONS_AGO_W_PCT,VISITOR_TEAM_2_SEASONS_AGO_W_PCT,HOME_TEAM_LAST_GAME_WON,VISITOR_TEAM_LAST_GAME_WON,HOME_TEAM_LAST_5_GAMES_W_PCT,VISITOR_TEAM_LAST_5_GAMES_W_PCT,HOME_TEAM_LAST_10_GAMES_W_PCT,VISITOR_TEAM_LAST_10_GAMES_W_PCT
0,2022-12-22,22200477,New Orleans,San Antonio,2023,1,19,12,10,21,3.0,3.0,0.44,0.41,0.43,0.46,0,1,0.2,0.6000000000000001,0.6,0.4
1,2022-12-22,22200478,Utah,Washington,2023,1,19,16,12,21,2.0,2.0,0.6,0.43,0.72,0.47,1,1,0.6000000000000001,0.2,0.5,0.1
2,2022-12-21,22200466,Cleveland,Milwaukee,2023,1,22,11,22,9,2.0,2.0,0.54,0.62,0.31,0.64,1,1,0.8,0.6000000000000001,0.7,0.7
3,2022-12-21,22200472,Houston,Orlando,2023,0,9,22,12,21,2.0,2.0,0.24,0.27,0.24,0.29,0,0,0.4,0.8,0.4,0.6
4,2022-12-21,22200476,L.A. Clippers,Charlotte,2023,1,19,14,8,24,4.0,2.0,0.51,0.52,0.65,0.46,1,1,0.8,0.2,0.5,0.2
5,2022-12-21,22200475,Sacramento,L.A. Lakers,2023,1,17,13,13,18,2.0,2.0,0.37,0.4,0.43,0.58,0,0,0.4,0.6000000000000001,0.6,0.5
6,2022-12-21,22200474,Oklahoma City,Portland,2023,1,14,18,17,15,2.0,2.0,0.29,0.33,0.31,0.58,1,0,0.4,0.6000000000000001,0.5,0.6
7,2022-12-21,22200473,Minnesota,Dallas,2023,0,16,16,16,16,2.0,2.0,0.56,0.63,0.32,0.58,1,0,0.6000000000000001,0.4,0.6,0.5
8,2022-12-21,22200467,Philadelphia,Detroit,2023,1,18,12,8,26,2.0,1.0,0.62,0.28,0.68,0.28,1,0,1.0,0.2,0.7,0.30000000000000004
9,2022-12-21,22200471,New York,Toronto,2023,0,18,14,14,18,1.0,2.0,0.45,0.58,0.57,0.38,1,0,1.0,0.0,0.7999999999999999,0.2
10,2022-12-21,22200468,Atlanta,Chicago,2023,0,16,16,13,18,2.0,1.0,0.52,0.56,0.57,0.43,1,1,0.6000000000000001,0.2,0.5,0.30000000000000004
11,2022-12-21,22200470,Brooklyn,Golden State,2023,1,20,12,15,18,3.0,1.0,0.54,0.65,0.67,0.54,1,0,1.0,0.2,0.8999999999999999,0.4
12,2022-12-21,22200469,Boston,Indiana,2023,0,22,10,16,16,3.0,3.0,0.62,0.3,0.5,0.47,0,0,0.2,0.2,0.5,0.30000000000000004
13,2022-12-20,22200462,Miami,Chicago,2023,0,16,16,12,18,3.0,2.0,0.65,0.56,0.56,0.43,1,0,0.8,0.2,0.6,0.30000000000000004
14,2022-12-20,22200463,New York,Golden State,2023,1,18,13,15,17,2.0,2.0,0.45,0.65,0.57,0.54,1,1,1.0,0.4,0.7999999999999999,0.4
15,2022-12-20,22200464,Phoenix,Washington,2023,0,19,13,12,20,1.0,2.0,0.78,0.43,0.71,0.47,1,0,0.6000000000000001,0.0,0.4,0.0
16,2022-12-20,22200465,Denver,Memphis,2023,1,19,11,19,11,2.0,3.0,0.58,0.68,0.65,0.53,1,0,0.8,0.8,0.6,0.7999999999999999
17,2022-12-20,22200461,Detroit,Utah,2023,0,8,25,18,16,2.0,1.0,0.28,0.6,0.28,0.72,0,0,0.2,0.4,0.30000000000000004,0.5
18,2022-12-19,22200456,Minnesota,Dallas,2023,1,16,15,15,16,1.0,2.0,0.56,0.63,0.32,0.58,1,0,0.4,0.4,0.5,0.5
19,2022-12-19,22200460,Sacramento,Charlotte,2023,0,16,13,8,23,3.0,1.0,0.37,0.52,0.43,0.46,1,0,0.6000000000000001,0.0,0.6,0.1
20,2022-12-19,22200459,Phoenix,L.A. Lakers,2023,1,19,12,13,17,2.0,1.0,0.78,0.4,0.71,0.58,1,1,0.4,0.6000000000000001,0.4,0.6
21,2022-12-19,22200457,New Orleans,Milwaukee,2023,0,18,12,22,8,2.0,2.0,0.44,0.62,0.43,0.64,0,1,0.4,0.6000000000000001,0.7,0.7
22,2022-12-19,22200458,Oklahoma City,Portland,2023,1,13,18,17,14,2.0,2.0,0.29,0.33,0.31,0.58,1,1,0.2,0.8,0.4,0.6
23,2022-12-19,22200455,Houston,San Antonio,2023,0,9,21,10,20,2.0,2.0,0.24,0.41,0.24,0.46,0,0,0.4,0.6000000000000001,0.4,0.30000000000000004
24,2022-12-19,22200454,Atlanta,Orlando,2023,1,16,15,11,21,3.0,1.0,0.52,0.27,0.57,0.29,1,1,0.4,1.0,0.4,0.6
25,2022-12-19,22200453,Philadelphia,Toronto,2023,1,17,12,13,18,3.0,1.0,0.62,0.58,0.68,0.38,1,0,0.8,0.0,0.7,0.2
26,2022-12-19,22200452,Cleveland,Utah,2023,1,21,11,17,16,2.0,2.0,0.54,0.6,0.31,0.72,1,0,0.8,0.4,0.7,0.5
27,2022-12-18,22200445,Boston,Orlando,2023,0,22,9,11,20,2.0,2.0,0.62,0.27,0.5,0.29,0,1,0.4,1.0,0.6,0.5
28,2022-12-18,22200446,Indiana,New York,2023,0,15,16,17,13,2.0,2.0,0.3,0.45,0.47,0.57,0,1,0.4,1.0,0.30000000000000004,0.7
29,2022-12-18,22200447,Detroit,Brooklyn,2023,0,8,24,19,12,2.0,2.0,0.28,0.54,0.28,0.67,0,1,0.2,1.0,0.30000000000000004,0.8999999999999999
30,2022-12-18,22200448,Toronto,Golden State,2023,0,13,17,15,16,2.0,2.0,0.58,0.65,0.38,0.54,0,0,0.2,0.2,0.30000000000000004,0.4
31,2022-12-18,22200449,Minnesota,Chicago,2023,1,15,15,11,18,2.0,2.0,0.56,0.56,0.32,0.43,1,0,0.4,0.4,0.4,0.30000000000000004
32,2022-12-18,22200450,Denver,Charlotte,2023,1,18,11,7,23,2.0,2.0,0.58,0.52,0.65,0.46,0,0,0.6000000000000001,0.0,0.6,0.2
33,2022-12-18,22200451,L.A. Lakers,Washington,2023,1,13,16,11,20,2.0,1.0,0.4,0.43,0.58,0.47,1,0,0.4,0.0,0.5,0.1
34,2022-12-17,22200441,Houston,Portland,2023,0,9,20,17,13,2.0,1.0,0.24,0.33,0.24,0.58,0,0,0.6000000000000001,0.6000000000000001,0.5,0.5
35,2022-12-17,22200444,Phoenix,New Orleans,2023,1,18,12,18,11,2.0,2.0,0.78,0.44,0.71,0.43,1,0,0.2,0.6000000000000001,0.4,0.7
36,2022-12-17,22200442,Milwaukee,Utah,2023,1,21,8,17,15,2.0,2.0,0.62,0.6,0.64,0.72,0,1,0.6000000000000001,0.6000000000000001,0.7,0.5
37,2022-12-17,22200443,Oklahoma City,Memphis,2023,1,12,18,19,10,1.0,2.0,0.29,0.68,0.31,0.53,0,1,0.0,1.0,0.30000000000000004,0.8999999999999999
38,2022-12-17,22200440,Cleveland,Dallas,2023,1,20,11,15,15,1.0,1.0,0.54,0.63,0.31,0.58,1,1,0.6000000000000001,0.4,0.6,0.6
39,2022-12-17,22200439,San Antonio,Miami,2023,0,9,20,16,15,3.0,2.0,0.41,0.65,0.46,0.56,0,1,0.6000000000000001,0.8,0.30000000000000004,0.6
40,2022-12-17,22200438,L.A. Clippers,Washington,2023,1,18,14,11,19,2.0,3.0,0.51,0.43,0.65,0.47,0,0,0.6000000000000001,0.0,0.5,0.1
41,2022-12-16,22200428,Charlotte,Atlanta,2023,0,7,22,15,15,2.0,2.0,0.52,0.52,0.46,0.57,0,0,0.0,0.2,0.30000000000000004,0.30000000000000004
42,2022-12-16,22200429,Detroit,Sacramento,2023,0,8,23,16,12,2.0,2.0,0.28,0.37,0.28,0.43,1,1,0.4,0.4,0.30000000000000004,0.5
43,2022-12-16,22200430,Boston,Orlando,2023,0,22,8,10,20,3.0,2.0,0.62,0.27,0.5,0.29,1,1,0.6000000000000001,0.8,0.7,0.4
44,2022-12-16,22200431,Cleveland,Indiana,2023,1,19,11,15,15,2.0,2.0,0.54,0.3,0.31,0.47,1,1,0.6000000000000001,0.4,0.6,0.4
45,2022-12-16,22200432,Philadelphia,Golden State,2023,1,16,12,14,16,3.0,2.0,0.62,0.65,0.68,0.54,1,0,0.6000000000000001,0.2,0.6,0.5
46,2022-12-16,22200433,Toronto,Brooklyn,2023,0,13,16,18,12,2.0,4.0,0.58,0.54,0.38,0.67,0,1,0.2,0.8,0.4,0.7999999999999999
47,2022-12-16,22200434,Chicago,New York,2023,0,11,17,16,13,2.0,2.0,0.56,0.45,0.43,0.57,0,1,0.4,1.0,0.4,0.6
48,2022-12-16,22200435,Oklahoma City,Minnesota,2023,0,11,18,14,15,2.0,2.0,0.29,0.56,0.31,0.32,0,0,0.2,0.4,0.4,0.30000000000000004
49,2022-12-16,22200436,Dallas,Portland,2023,1,15,14,16,13,2.0,2.0,0.63,0.33,0.58,0.58,0,1,0.4,0.8,0.5,0.6
50,2022-12-16,22200437,L.A. Lakers,Denver,2023,1,12,16,17,11,3.0,2.0,0.4,0.58,0.58,0.65,0,1,0.2,0.6000000000000001,0.5,0.7
51,2022-12-15,22200426,Utah,New Orleans,2023,1,17,14,18,10,2.0,2.0,0.6,0.44,0.72,0.43,1,0,0.4,0.8,0.4,0.7999999999999999
52,2022-12-15,22200427,L.A. Clippers,Phoenix,2023,0,17,14,17,12,1.0,2.0,0.51,0.78,0.65,0.71,1,0,0.6000000000000001,0.0,0.6,0.4
53,2022-12-15,22200425,Memphis,Milwaukee,2023,1,19,9,20,8,3.0,2.0,0.68,0.62,0.53,0.64,1,1,1.0,0.8,0.7999999999999999,0.7999999999999999
54,2022-12-15,22200424,Houston,Miami,2023,0,9,19,15,15,2.0,1.0,0.24,0.65,0.24,0.56,1,1,0.6000000000000001,0.6000000000000001,0.6,0.6
55,2022-12-14,22200414,Charlotte,Detroit,2023,0,7,21,8,22,3.0,3.0,0.52,0.28,0.46,0.28,0,0,0.0,0.2,0.30000000000000004,0.30000000000000004
56,2022-12-14,22200415,Indiana,Golden State,2023,1,15,14,14,15,2.0,1.0,0.3,0.65,0.47,0.54,0,0,0.4,0.4,0.30000000000000004,0.6
57,2022-12-14,22200416,Orlando,Atlanta,2023,1,9,20,14,15,3.0,2.0,0.27,0.52,0.29,0.57,1,0,0.6000000000000001,0.2,0.30000000000000004,0.30000000000000004
58,2022-12-14,22200417,Toronto,Sacramento,2023,0,13,15,15,12,3.0,1.0,0.58,0.37,0.38,0.43,0,0,0.4,0.4,0.4,0.4
59,2022-12-14,22200418,Chicago,New York,2023,0,11,16,15,13,3.0,3.0,0.56,0.45,0.43,0.57,0,1,0.4,0.8,0.5,0.6
60,2022-12-14,22200419,Oklahoma City,Miami,2023,0,11,17,14,15,2.0,2.0,0.29,0.65,0.31,0.56,0,1,0.4,0.4,0.4,0.6
61,2022-12-14,22200420,San Antonio,Portland,2023,0,9,19,16,12,2.0,2.0,0.41,0.33,0.46,0.58,1,1,0.6000000000000001,0.8,0.30000000000000004,0.5
62,2022-12-14,22200421,Dallas,Cleveland,2023,0,14,14,18,11,2.0,2.0,0.63,0.54,0.58,0.31,1,0,0.6000000000000001,0.4,0.5,0.5
63,2022-12-14,22200422,Denver,Washington,2023,1,17,10,11,18,4.0,2.0,0.58,0.43,0.65,0.47,1,0,0.4,0.0,0.6,0.1
64,2022-12-14,22200423,L.A. Clippers,Minnesota,2023,1,17,13,13,15,2.0,2.0,0.51,0.56,0.65,0.32,1,0,0.6000000000000001,0.4,0.5,0.4
65,2022-12-13,22200411,Houston,Phoenix,2023,1,9,18,16,12,2.0,2.0,0.24,0.78,0.24,0.71,1,0,0.6000000000000001,0.2,0.5,0.5
66,2022-12-13,22200412,Utah,New Orleans,2023,1,16,14,18,9,3.0,2.0,0.6,0.44,0.72,0.43,0,1,0.4,1.0,0.30000000000000004,0.8999999999999999
67,2022-12-13,22200413,L.A. Lakers,Boston,2023,0,11,16,22,7,2.0,1.0,0.4,0.62,0.58,0.5,1,0,0.4,0.6000000000000001,0.6,0.7
68,2022-12-13,22200410,Milwaukee,Golden State,2023,1,20,7,14,14,2.0,3.0,0.62,0.65,0.64,0.54,0,1,0.8,0.6000000000000001,0.7,0.6
69,2022-12-13,22200409,Philadelphia,Sacramento,2023,1,15,12,14,12,2.0,2.0,0.62,0.37,0.68,0.43,1,0,0.4,0.6000000000000001,0.6,0.5
70,2022-12-12,22200406,San Antonio,Cleveland,2023,1,9,18,17,11,2.0,2.0,0.41,0.54,0.46,0.31,1,1,0.4,0.6000000000000001,0.2,0.6
71,2022-12-12,22200408,L.A. Clippers,Boston,2023,1,16,13,21,7,2.0,2.0,0.51,0.62,0.65,0.5,1,0,0.4,0.6000000000000001,0.4,0.7999999999999999
72,2022-12-12,22200407,Portland,Minnesota,2023,1,15,12,13,14,2.0,2.0,0.33,0.56,0.58,0.32,1,0,0.6000000000000001,0.6000000000000001,0.4,0.5
73,2022-12-12,22200403,Washington,Brooklyn,2023,0,11,17,17,12,2.0,2.0,0.43,0.54,0.47,0.67,0,1,0.0,0.8,0.1,0.7999999999999999
74,2022-12-12,22200405,Dallas,Oklahoma City,2023,1,14,13,11,16,2.0,2.0,0.63,0.29,0.58,0.31,0,0,0.6000000000000001,0.6000000000000001,0.4,0.4
75,2022-12-12,22200402,Indiana,Miami,2023,0,14,14,13,15,2.0,2.0,0.3,0.65,0.47,0.56,0,0,0.4,0.4,0.4,0.5
76,2022-12-12,22200404,Memphis,Atlanta,2023,1,18,9,14,14,3.0,1.0,0.68,0.52,0.53,0.57,1,1,1.0,0.4,0.7,0.4
